seed,elapsed_time,from_state,to_state,pos_xyz,target_xyz,discovered_xyz,attack_retry_started_at
0,0,,INIT,,,,
0,0.02,INIT,DESCEND_TO_7M,,,,
0,0.035,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
0,0.036,SEARCH_HYDROPHONE,HOLD_TARGET,0.0000 0.0000 6.9746,,2.7941 0.1983 11.1163,0.036
0,0.037,HOLD_TARGET,HYDRO_DIVE,0.0000 0.0000 6.9746,,2.7941 0.1983 11.1163,0.036
0,0.047,HYDRO_DIVE,HYDRO_APPROACH,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,2.7941 0.1983 11.1163,0.036
0,0.057,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,2.7504 0.1952 11.0901,2.7941 0.1983 11.1163,2.7941 0.1983 11.1163,0.036
0,0.064,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,2.7504 0.1952 10.6213,2.7504 0.1952 10.5901,2.7941 0.1983 11.1163,0.036
0,0.066,HYDRO_CHECK_MIC,SURFACE,2.7504 0.1952 10.6213,,2.7941 0.1983 11.1163,0.036
0,0.077,SURFACE,RETURN_HOME,2.7504 0.1952 6.6526,2.7504 0.1952 6.6213,2.7941 0.1983 11.1163,0.036
0,0.079,RETURN_HOME,DONE,2.7504 0.1952 6.6526,,2.7941 0.1983 11.1163,0.036
1,0,,INIT,,,,
1,0.021,INIT,DESCEND_TO_7M,,,,
1,0.034,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
1,0.035,SEARCH_HYDROPHONE,VISUAL_DIVE,0.0000 0.0000 6.9746,,-0.1871 2.7126 11.1707,0.035
1,0.045,VISUAL_DIVE,VISUAL_CHECK_MIC,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-0.1871 2.7126 11.1707,0.035
1,0.047,VISUAL_CHECK_MIC,VISUAL_DETECT,0.0000 0.0000 9.4355,,-0.1871 2.7126 11.1707,0.035
1,0.05,VISUAL_DETECT,VISUAL_ATTACK,0.0000 0.0000 9.4355,,2.7333 -0.2204 9.6504,0.035
1,0.059,VISUAL_ATTACK,VISUAL_POST_CHECK,2.6479 -0.2135 9.6437,2.7333 -0.2204 9.6504,2.7333 -0.2204 9.6504,0.035
1,0.065,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,2.6479 -0.2135 9.1750,2.6479 -0.2135 9.1437,2.7333 -0.2204 9.6504,0.035
1,0.067,VISUAL_CHECK_MIC,VISUAL_DETECT,2.6479 -0.2135 9.1750,,2.7333 -0.2204 9.6504,0.035
1,0.069,VISUAL_DETECT,VISUAL_ATTACK,2.6479 -0.2135 9.1750,,4.8875 -0.6808 9.7786,0.035
1,0.077,VISUAL_ATTACK,VISUAL_POST_CHECK,4.8175 -0.6662 9.7597,4.8875 -0.6808 9.7786,4.8875 -0.6808 9.7786,0.035
1,0.085,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,4.8175 -0.6662 9.2910,4.8175 -0.6662 9.2597,4.8875 -0.6808 9.7786,0.035
1,0.087,VISUAL_CHECK_MIC,SURFACE,4.8175 -0.6662 9.2910,,4.8875 -0.6808 9.7786,0.035
1,0.099,SURFACE,RETURN_HOME,4.8175 -0.6662 5.3222,4.8175 -0.6662 5.2910,4.8875 -0.6808 9.7786,0.035
1,0.101,RETURN_HOME,DONE,4.8175 -0.6662 5.3222,,4.8875 -0.6808 9.7786,0.035
2,0,,INIT,,,,
2,0.02,INIT,DESCEND_TO_7M,,,,
2,0.032,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
2,0.034,SEARCH_HYDROPHONE,HOLD_TARGET,0.0000 0.0000 6.9746,,-1.3815 2.3194 11.1832,0.034
2,0.035,HOLD_TARGET,HYDRO_DIVE,0.0000 0.0000 6.9746,,-1.3815 2.3194 11.1832,0.034
2,0.044,HYDRO_DIVE,HYDRO_APPROACH,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-1.3815 2.3194 11.1832,0.034
2,0.053,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,-1.3599 2.2831 11.1558,-1.3815 2.3194 11.1832,-1.3815 2.3194 11.1832,0.034
2,0.059,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,-1.3599 2.2831 10.6871,-1.3599 2.2831 10.6558,-1.3815 2.3194 11.1832,0.034
2,0.06,HYDRO_CHECK_MIC,SURFACE,-1.3599 2.2831 10.6871,,-1.3815 2.3194 11.1832,0.034
2,0.07,SURFACE,RETURN_HOME,-1.3599 2.2831 6.7183,-1.3599 2.2831 6.6871,-1.3815 2.3194 11.1832,0.034
2,0.072,RETURN_HOME,DONE,-1.3599 2.2831 6.7183,,-1.3815 2.3194 11.1832,0.034
3,0,,INIT,,,,
3,0.02,INIT,DESCEND_TO_7M,,,,
3,0.033,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
3,0.035,SEARCH_HYDROPHONE,VISUAL_DIVE,0.0000 0.0000 6.9746,,3.1267 -0.5143 10.8423,0.035
3,0.044,VISUAL_DIVE,VISUAL_CHECK_MIC,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,3.1267 -0.5143 10.8423,0.035
3,0.045,VISUAL_CHECK_MIC,VISUAL_DETECT,0.0000 0.0000 9.4355,,3.1267 -0.5143 10.8423,0.035
3,0.05,VISUAL_DETECT,VISUAL_ATTACK,0.0000 0.0000 9.4355,,1.8741 -0.2057 10.1576,0.035
3,0.058,VISUAL_ATTACK,VISUAL_POST_CHECK,1.8155 -0.1993 10.1350,1.8741 -0.2057 10.1576,1.8741 -0.2057 10.1576,0.035
3,0.064,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,1.8155 -0.1993 9.6663,1.8155 -0.1993 9.6350,1.8741 -0.2057 10.1576,0.035
3,0.065,VISUAL_CHECK_MIC,VISUAL_DETECT,1.8155 -0.1993 9.6663,,1.8741 -0.2057 10.1576,0.035
3,0.067,VISUAL_DETECT,VISUAL_ATTACK,1.8155 -0.1993 9.6663,,2.6946 0.6524 9.4462,0.035
3,0.073,VISUAL_ATTACK,VISUAL_POST_CHECK,2.6396 0.5991 9.4599,2.6946 0.6524 9.4462,2.6946 0.6524 9.4462,0.035
3,0.079,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,2.6396 0.5991 8.9912,2.6396 0.5991 8.9599,2.6946 0.6524 9.4462,0.035
3,0.081,VISUAL_CHECK_MIC,SURFACE,2.6396 0.5991 8.9912,,2.6946 0.6524 9.4462,0.035
3,0.092,SURFACE,RETURN_HOME,2.6396 0.5991 5.0224,2.6396 0.5991 4.9912,2.6946 0.6524 9.4462,0.035
3,0.094,RETURN_HOME,DONE,2.6396 0.5991 5.0224,,2.6946 0.6524 9.4462,0.035
4,0,,INIT,,,,
4,0.02,INIT,DESCEND_TO_7M,,,,
4,0.032,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
4,0.034,SEARCH_HYDROPHONE,VISUAL_DIVE,0.0000 0.0000 6.9746,,-2.4703 -1.5699 11.0283,0.034
4,0.042,VISUAL_DIVE,VISUAL_CHECK_MIC,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-2.4703 -1.5699 11.0283,0.034
4,0.044,VISUAL_CHECK_MIC,VISUAL_DETECT,0.0000 0.0000 9.4355,,-2.4703 -1.5699 11.0283,0.034
4,0.047,VISUAL_DETECT,VISUAL_ATTACK,0.0000 0.0000 9.4355,,0.6471 0.0407 9.1560,0.034
4,0.051,VISUAL_ATTACK,VISUAL_POST_CHECK,0.5662 0.0356 9.1910,0.6471 0.0407 9.1560,0.6471 0.0407 9.1560,0.034
4,0.058,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,0.5662 0.0356 8.7222,0.5662 0.0356 8.6910,0.6471 0.0407 9.1560,0.034
4,0.06,VISUAL_CHECK_MIC,VISUAL_DETECT,0.5662 0.0356 8.7222,,0.6471 0.0407 9.1560,0.034
4,0.062,VISUAL_DETECT,VISUAL_ATTACK,0.5662 0.0356 8.7222,,3.1334 -0.4410 9.6081,0.034
4,0.069,VISUAL_ATTACK,VISUAL_POST_CHECK,3.0532 -0.4261 9.5805,3.1334 -0.4410 9.6081,3.1334 -0.4410 9.6081,0.034
4,0.075,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,3.0532 -0.4261 9.1117,3.0532 -0.4261 9.0805,3.1334 -0.4410 9.6081,0.034
4,0.077,VISUAL_CHECK_MIC,VISUAL_DETECT,3.0532 -0.4261 9.1117,,3.1334 -0.4410 9.6081,0.034
4,0.079,VISUAL_DETECT,VISUAL_ATTACK,3.0532 -0.4261 9.1117,,5.1549 -0.9056 8.6552,0.034
4,0.087,VISUAL_ATTACK,VISUAL_POST_CHECK,5.0892 -0.8906 8.6695,5.1549 -0.9056 8.6552,5.1549 -0.9056 8.6552,0.034
4,0.093,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,5.0892 -0.8906 8.2007,5.0892 -0.8906 8.1695,5.1549 -0.9056 8.6552,0.034
4,0.094,VISUAL_CHECK_MIC,SURFACE,5.0892 -0.8906 8.2007,,5.1549 -0.9056 8.6552,0.034
4,0.105,SURFACE,RETURN_HOME,5.0892 -0.8906 4.2320,5.0892 -0.8906 4.2007,5.1549 -0.9056 8.6552,0.034
4,0.107,RETURN_HOME,DONE,5.0892 -0.8906 4.2320,,5.1549 -0.9056 8.6552,0.034
5,0,,INIT,,,,
5,0.021,INIT,DESCEND_TO_7M,,,,
5,0.032,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
5,0.034,SEARCH_HYDROPHONE,HOLD_TARGET,0.0000 0.0000 6.9746,,2.6048 -0.5715 11.2041,0.034
5,0.036,HOLD_TARGET,HYDRO_DIVE,0.0000 0.0000 6.9746,,2.6048 -0.5715 11.2041,0.034
5,0.045,HYDRO_DIVE,HYDRO_APPROACH,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,2.6048 -0.5715 11.2041,0.034
